id,title,overview,genres,keywords,cast,director,release_date,release_year,runtime,vote_average,vote_count,popularity,tags
211672,Minions,"Minions Stuart, Kevin and Bob are recruited by Scarlet Overkill, a super-villain who, alongside her inventor husband Herb, hatches a plot to take over the world.","['Family', 'Animation', 'Adventure', 'Comedy']","['assistant', 'aftercreditsstinger', 'duringcreditsstinger', 'evilmastermind', 'minions', '3d']","['SandraBullock', 'JonHamm', 'MichaelKeaton', 'AllisonJanney', 'SteveCoogan']",KyleBalda,2015-06-17,2015.0,91.0,6.4,4571,875.581305,minions stuart kevin and bob are recruited by scarlet overkill a super villain who alongside her inventor husband herb hatches a plot to take over the world family animation adventure comedy family animation adventure comedy family animation adventure comedy family animation adventure comedy family animation adventure comedy assistant aftercreditsstinger duringcreditsstinger evilmastermind minions 3d assistant aftercreditsstinger duringcreditsstinger evilmastermind minions 3d assistant aftercreditsstinger duringcreditsstinger evilmastermind minions 3d assistant aftercreditsstinger duringcreditsstinger evilmastermind minions 3d sandrabullock jonhamm michaelkeaton allisonjanney stevecoogan sandrabullock jonhamm michaelkeaton allisonjanney stevecoogan kylebalda kylebalda kylebalda kylebalda kylebalda kylebalda 2015
157336,Interstellar,Interstellar chronicles the adventures of a group of explorers who make use of a newly discovered wormhole to surpass the limitations on human space travel and conquer the vast distances involved in an interstellar voyage.,"['Adventure', 'Drama', 'ScienceFiction']","['savingtheworld', 'artificialintelligence', 'fathersonrelationship', 'singleparent', 'nasa', 'expedition', 'wormhole', 'spacetravel', 'famine', 'blackhole', 'dystopia', 'raceagainsttime']","['MatthewMcConaughey', 'JessicaChastain', 'AnneHathaway', 'MichaelCaine', 'CaseyAffleck']",ChristopherNolan,2014-11-05,2014.0,169.0,8.1,10867,724.247784,interstellar chronicles the adventures of a group of explorers who make use of a newly discovered wormhole to surpass the limitations on human space travel and conquer the vast distances involved in an interstellar voyage adventure drama sciencefiction adventure drama sciencefiction adventure drama sciencefiction adventure drama sciencefiction adventure drama sciencefiction savingtheworld artificialintelligence fathersonrelationship singleparent nasa expedition wormhole spacetravel famine blackhole dystopia raceagainsttime savingtheworld artificialintelligence fathersonrelationship singleparent nasa expedition wormhole spacetravel famine blackhole dystopia raceagainsttime savingtheworld artificialintelligence fathersonrelationship singleparent nasa expedition wormhole spacetravel famine blackhole dystopia raceagainsttime savingtheworld artificialintelligence fathersonrelationship singleparent nasa expedition wormhole spacetravel famine blackhole dystopia raceagainsttime matthewmcconaughey jessicachastain annehathaway michaelcaine caseyaffleck matthewmcconaughey jessicachastain annehathaway michaelcaine caseyaffleck christophernolan christophernolan christophernolan christophernolan christophernolan christophernolan 2014
293660,Deadpool,"Deadpool tells the origin story of former Special Forces operative turned mercenary Wade Wilson, who after being subjected to a rogue experiment that leaves him with accelerated healing powers, adopts the alter ego Deadpool. Armed with his new abilities and a dark, twisted sense of humor, Deadpool hunts down the man who nearly destroyed his life.","['Action', 'Adventure', 'Comedy']","['antihero', 'mercenary', 'marvelcomic', 'superhero', 'basedoncomicbook', 'breakingthefourthwall', 'aftercreditsstinger', 'duringcreditsstinger', 'selfhealing']","['RyanReynolds', 'MorenaBaccarin', 'EdSkrein', 'T.J.Miller', 'GinaCarano']",TimMiller,2016-02-09,2016.0,108.0,7.4,10995,514.569956,deadpool tells the origin story of former special forces operative turned mercenary wade wilson who after being subjected to a rogue experiment that leaves him with accelerated healing powers adopts the alter ego deadpool armed with his new abilities and a dark twisted sense of humor deadpool hunts down the man who nearly destroyed his life action adventure comedy action adventure comedy action adventure comedy action adventure comedy action adventure comedy antihero mercenary marvelcomic superhero basedoncomicbook breakingthefourthwall aftercreditsstinger duringcreditsstinger selfhealing antihero mercenary marvelcomic superhero basedoncomicbook breakingthefourthwall aftercreditsstinger duringcreditsstinger selfhealing antihero mercenary marvelcomic superhero basedoncomicbook breakingthefourthwall aftercreditsstinger duringcreditsstinger selfhealing antihero mercenary marvelcomic superhero basedoncomicbook breakingthefourthwall aftercreditsstinger duringcreditsstinger selfhealing ryanreynolds morenabaccarin edskrein t j miller ginacarano ryanreynolds morenabaccarin edskrein t j miller ginacarano timmiller timmiller timmiller timmiller timmiller timmiller 2016
118340,Guardians of the Galaxy,"Light years from Earth, 26 years after being abducted, Peter Quill finds himself the prime target of a manhunt after discovering an orb wanted by Ronan the Accuser.","['Action', 'ScienceFiction', 'Adventure']","['marvelcomic', 'spaceship', 'space', 'outerspace', 'orphan', 'adventurer', 'aftercreditsstinger', 'duringcreditsstinger', 'marvelcinematicuniverse']","['ChrisPratt', 'ZoeSaldana', 'DaveBautista', 'VinDiesel', 'BradleyCooper']",JamesGunn,2014-07-30,2014.0,121.0,7.9,9742,481.098624,light years from earth 26 years after being abducted peter quill finds himself the prime target of a manhunt after discovering an orb wanted by ronan the accuser action sciencefiction adventure action sciencefiction adventure action sciencefiction adventure action sciencefiction adventure action sciencefiction adventure marvelcomic spaceship space outerspace orphan adventurer aftercreditsstinger duringcreditsstinger marvelcinematicuniverse marvelcomic spaceship space outerspace orphan adventurer aftercreditsstinger duringcreditsstinger marvelcinematicuniverse marvelcomic spaceship space outerspace orphan adventurer aftercreditsstinger duringcreditsstinger marvelcinematicuniverse marvelcomic spaceship space outerspace orphan adventurer aftercreditsstinger duringcreditsstinger marvelcinematicuniverse chrispratt zoesaldana davebautista vindiesel bradleycooper chrispratt zoesaldana davebautista vindiesel bradleycooper jamesgunn jamesgunn jamesgunn jamesgunn jamesgunn jamesgunn 2014
76341,Mad Max: Fury Road,"An apocalyptic story set in the furthest reaches of our planet, in a stark desert landscape where humanity is broken, and most everyone is crazed fighting for the necessities of life. Within this world exist two rebels on the run who just might be able to restore order. There's Max, a man of action and a man of few words, who seeks peace of mind following the loss of his wife and child in the aftermath of the chaos. And Furiosa, a woman of action and a woman who believes her path to survival may be achieved if she can make it across the desert back to her childhood homeland.","['Action', 'Adventure', 'ScienceFiction', 'Thriller']","['future', 'chase', 'post-apocalyptic', 'dystopia', 'australia', 'rescue', 'survival', 'ontherun', 'convoy', 'peakoil', 'darkfuture']","['TomHardy', 'CharlizeTheron', 'NicholasHoult', 'HughKeays-Byrne', 'JoshHelman']",GeorgeMiller,2015-05-13,2015.0,120.0,7.2,9427,434.278564,an apocalyptic story set in the furthest reaches of our planet in a stark desert landscape where humanity is broken and most everyone is crazed fighting for the necessities of life within this world exist two rebels on the run who just might be able to restore order there s max a man of action and a man of few words who seeks peace of mind following the loss of his wife and child in the aftermath of the chaos and furiosa a woman of action and a woman who believes her path to survival may be achieved if she can make it across the desert back to her childhood homeland action adventure sciencefiction thriller action adventure sciencefiction thriller action adventure sciencefiction thriller action adventure sciencefiction thriller action adventure sciencefiction thriller future chase post apocalyptic dystopia australia rescue survival ontherun convoy peakoil darkfuture future chase post apocalyptic dystopia australia rescue survival ontherun convoy peakoil darkfuture future chase post apocalyptic dystopia australia rescue survival ontherun convoy peakoil darkfuture future chase post apocalyptic dystopia australia rescue survival ontherun convoy peakoil darkfuture tomhardy charlizetheron nicholashoult hughkeays byrne joshhelman tomhardy charlizetheron nicholashoult hughkeays byrne joshhelman georgemiller georgemiller georgemiller georgemiller georgemiller georgemiller 2015
135397,Jurassic World,"Twenty-two years after the events of Jurassic Park, Isla Nublar now features a fully functioning dinosaur theme park, Jurassic World, as originally envisioned by John Hammond.","['Action', 'Adventure', 'ScienceFiction', 'Thriller']","['monster', 'dna', 'tyrannosaurusrex', 'velociraptor', 'island', 'sequel', 'suspense', 'disaster', 'escape', 'dinosaur', 'amusementpark', 'animalattack']","['ChrisPratt', 'BryceDallasHoward', 'IrrfanKhan', ""VincentD'Onofrio"", 'NickRobinson']",ColinTrevorrow,2015-06-09,2015.0,124.0,6.5,8662,418.708552,twenty two years after the events of jurassic park isla nublar now features a fully functioning dinosaur theme park jurassic world as originally envisioned by john hammond action adventure sciencefiction thriller action adventure sciencefiction thriller action adventure sciencefiction thriller action adventure sciencefiction thriller action adventure sciencefiction thriller monster dna tyrannosaurusrex velociraptor island sequel suspense disaster escape dinosaur amusementpark animalattack monster dna tyrannosaurusrex velociraptor island sequel suspense disaster escape dinosaur amusementpark animalattack monster dna tyrannosaurusrex velociraptor island sequel suspense disaster escape dinosaur amusementpark animalattack monster dna tyrannosaurusrex velociraptor island sequel suspense disaster escape dinosaur amusementpark animalattack chrispratt brycedallashoward irrfankhan vincentd onofrio nickrobinson chrispratt brycedallashoward irrfankhan vincentd onofrio nickrobinson colintrevorrow colintrevorrow colintrevorrow colintrevorrow colintrevorrow colintrevorrow 2015
22,Pirates of the Caribbean: The Curse of the Black Pearl,"Jack Sparrow, a freewheeling 17th-century pirate who roams the Caribbean Sea, butts heads with a rival pirate bent on pillaging the village of Port Royal. When the governor's daughter is kidnapped, Sparrow decides to help the girl's love save her. But their seafaring mission is hardly simple.","['Adventure', 'Fantasy', 'Action']","['exoticisland', 'blacksmith', 'eastindiatradingcompany', 'gold', 'marriageproposal', 'mutiny', 'jamaica', 'skeleton', 'daughter', 'governor', 'woodeneye', 'goldcoin']","['JohnnyDepp', 'GeoffreyRush', 'OrlandoBloom', 'KeiraKnightley', 'JackDavenport']",GoreVerbinski,2003-07-09,2003.0,143.0,7.5,6985,271.972889,jack sparrow a freewheeling 17th century pirate who roams the caribbean sea butts heads with a rival pirate bent on pillaging the village of port royal when the governor s daughter is kidnapped sparrow decides to help the girl s love save her but their seafaring mission is hardly simple adventure fantasy action adventure fantasy action adventure fantasy action adventure fantasy action adventure fantasy action exoticisland blacksmith eastindiatradingcompany gold marriageproposal mutiny jamaica skeleton daughter governor woodeneye goldcoin exoticisland blacksmith eastindiatradingcompany gold marriageproposal mutiny jamaica skeleton daughter governor woodeneye goldcoin exoticisland blacksmith eastindiatradingcompany gold marriageproposal mutiny jamaica skeleton daughter governor woodeneye goldcoin exoticisland blacksmith eastindiatradingcompany gold marriageproposal mutiny jamaica skeleton daughter governor woodeneye goldcoin johnnydepp geoffreyrush orlandobloom keiraknightley jackdavenport johnnydepp geoffreyrush orlandobloom keiraknightley jackdavenport goreverbinski goreverbinski goreverbinski goreverbinski goreverbinski goreverbinski 2003
119450,Dawn of the Planet of the Apes,"A group of scientists in San Francisco struggle to stay alive in the aftermath of a plague that is wiping out humanity, while Caesar tries to maintain dominance over his community of intelligent apes.","['ScienceFiction', 'Action', 'Drama', 'Thriller']","['leader', 'colony', 'post-apocalyptic', 'dystopia', 'forest', 'sequel', 'woods', 'ape', 'scientist', 'monkey', 'medicalresearch', 'animalattack']","['AndySerkis', 'JasonClarke', 'GaryOldman', 'KeriRussell', 'TobyKebbell']",MattReeves,2014-06-26,2014.0,130.0,7.3,4410,243.791743,a group of scientists in san francisco struggle to stay alive in the aftermath of a plague that is wiping out humanity while caesar tries to maintain dominance over his community of intelligent apes sciencefiction action drama thriller sciencefiction action drama thriller sciencefiction action drama thriller sciencefiction action drama thriller sciencefiction action drama thriller leader colony post apocalyptic dystopia forest sequel woods ape scientist monkey medicalresearch animalattack leader colony post apocalyptic dystopia forest sequel woods ape scientist monkey medicalresearch animalattack leader colony post apocalyptic dystopia forest sequel woods ape scientist monkey medicalresearch animalattack leader colony post apocalyptic dystopia forest sequel woods ape scientist monkey medicalresearch animalattack andyserkis jasonclarke garyoldman kerirussell tobykebbell andyserkis jasonclarke garyoldman kerirussell tobykebbell mattreeves mattreeves mattreeves mattreeves mattreeves mattreeves 2014
131631,The Hunger Games: Mockingjay - Part 1,Katniss Everdeen reluctantly becomes the symbol of a mass rebellion against the autocratic Capitol.,"['ScienceFiction', 'Adventure', 'Thriller']","['resistance', 'post-apocalyptic', 'dystopia', 'war', 'sequel', 'femaleprotagonist', 'bowandarrow', 'game', 'futurewar', 'revolt', 'classprejudice', 'humansubjugation']","['JenniferLawrence', 'JoshHutcherson', 'LiamHemsworth', 'WoodyHarrelson', 'DonaldSutherland']",FrancisLawrence,2014-11-18,2014.0,123.0,6.6,5584,206.227151,katniss everdeen reluctantly becomes the symbol of a mass rebellion against the autocratic capitol sciencefiction adventure thriller sciencefiction adventure thriller sciencefiction adventure thriller sciencefiction adventure thriller sciencefiction adventure thriller resistance post apocalyptic dystopia war sequel femaleprotagonist bowandarrow game futurewar revolt classprejudice humansubjugation resistance post apocalyptic dystopia war sequel femaleprotagonist bowandarrow game futurewar revolt classprejudice humansubjugation resistance post apocalyptic dystopia war sequel femaleprotagonist bowandarrow game futurewar revolt classprejudice humansubjugation resistance post apocalyptic dystopia war sequel femaleprotagonist bowandarrow game futurewar revolt classprejudice humansubjugation jenniferlawrence joshhutcherson liamhemsworth woodyharrelson donaldsutherland jenniferlawrence joshhutcherson liamhemsworth woodyharrelson donaldsutherland francislawrence francislawrence francislawrence francislawrence francislawrence francislawrence 2014
177572,Big Hero 6,"The special bond that develops between plus-sized inflatable robot Baymax, and prodigy Hiro Hamada, who team up with a group of friends to form a band of high-tech heroes.","['Adventure', 'Family', 'Animation', 'Action', 'Comedy']","['brotherbrotherrelationship', 'hero', 'talent', 'revenge', 'bestfriend', 'anotherdimension', 'robot', 'boygenius', 'hate', 'aftercreditsstinger', 'moraldilemma', '3d']","['ScottAdsit', 'RyanPotter', 'DanielHenney', 'T.J.Miller', 'JamieChung']",ChrisWilliams,2014-10-24,2014.0,102.0,7.8,6135,203.73459,the special bond that develops between plus sized inflatable robot baymax and prodigy hiro hamada who team up with a group of friends to form a band of high tech heroes adventure family animation action comedy adventure family animation action comedy adventure family animation action comedy adventure family animation action comedy adventure family animation action comedy brotherbrotherrelationship hero talent revenge bestfriend anotherdimension robot boygenius hate aftercreditsstinger moraldilemma 3d brotherbrotherrelationship hero talent revenge bestfriend anotherdimension robot boygenius hate aftercreditsstinger moraldilemma 3d brotherbrotherrelationship hero talent revenge bestfriend anotherdimension robot boygenius hate aftercreditsstinger moraldilemma 3d brotherbrotherrelationship hero talent revenge bestfriend anotherdimension robot boygenius hate aftercreditsstinger moraldilemma 3d scottadsit ryanpotter danielhenney t j miller jamiechung scottadsit ryanpotter danielhenney t j miller jamiechung chriswilliams chriswilliams chriswilliams chriswilliams chriswilliams chriswilliams 2014
